time,error_original,error_method1,error_method2,error_method3,error_method4,similarity_top1,similarity_mean,momentum1_magnitude,momentum2_magnitude,momentum3_magnitude,momentum4_magnitude
919,17.753052544939603,14.897870160302935,13.931138779931123,16.600764056274848,17.514917025431515,0.9062923059848723,0.9035161219435134,2.6265933096678853,3.579688949454887,0.9133598246301374,0.00020141967432939743
920,17.922053850242552,14.975003381280521,14.0042473995595,16.680569551006602,17.596844520963995,0.8833778559391758,0.8777208250569413,2.62990282603608,3.617643797168071,0.9222713287045996,0.00021102532105707306
921,17.919914856583507,15.042490198745336,14.05607103756568,16.749783973898303,17.671560742355577,0.9073259394126482,0.9045539890535756,2.6405228616817404,3.6643369329912843,0.9334557146661886,0.00020792328246194963
922,17.92366281675045,15.081191610961834,14.086823729014748,16.790426807764266,17.715349300952564,0.8781753168899247,0.8744865332916174,2.641808534380641,3.649575297143117,0.9300039574503339,0.00021811235938938166
923,18.084059127956618,15.147841220136671,14.149229969017,16.862780174836626,17.791041280016984,0.9249102992103864,0.921421963155155,2.6583155189848444,3.656389176043412,0.9320817483105208,0.00021220780847615067
924,18.184117235483853,15.241066635679303,14.242530766801575,16.96138180607468,17.891520181467726,0.8847945237154523,0.8812881497545726,2.661842739307402,3.6471703966106332,0.9300509958665927,0.00020421280552027646
925,18.146309417718758,15.27894706997218,14.286061049852567,17.00798510363167,17.939431160799863,0.9230596596907799,0.9184098980780121,2.6769238555280994,3.654142908230588,0.9321063333004723,0.00020068195394785585
926,18.091087129053264,15.289922256400354,14.308783326468525,17.025774654055486,17.955902440672965,0.8633700805879754,0.8584846413536834,2.6724970467047484,3.636352951573489,0.927773504796589,0.00019388651346329848
927,18.162262698551878,15.319360606363677,14.347493783291531,17.063458758315925,17.993575847023035,0.9170189308279479,0.9162495432852836,2.6856215724695867,3.6444816044087096,0.9300616579300046,0.0001900944455204371
928,18.149120058379225,15.325603130113608,14.363992294126469,17.074324118255213,18.0028051354798,0.8565802520088021,0.8508228885296816,2.679297806881201,3.625591532024932,0.9254065560258914,0.00020248480066761574
929,18.16292883315085,15.3249794926809,14.37138749124582,17.080326385153562,18.008586519298103,0.9199047284077648,0.917164402712697,2.6934652672937722,3.6360057135998654,0.9282222077221992,0.00019785196974788911
930,18.272620643139188,15.34967429997473,14.404681031074448,17.108732395550856,18.035550012911497,0.8607284402475227,0.8564762532743762,2.6890139660598886,3.621639352470109,0.9247130021358406,0.00020972816309904418
